Disease	Gene	Category
Multiple sclerosis	Maz	Neurological
Multiple sclerosis	Mcl1	Neurological
Multiple sclerosis	Mctp1	Neurological
Multiple sclerosis	Mef2b	Neurological
Multiple sclerosis	Mef2c	Neurological
Multiple sclerosis	Mertk	Neurological
Multiple sclerosis	Met	Neurological
Multiple sclerosis	Mgat5	Neurological
Multiple sclerosis	Bud13	Neurological
Multiple sclerosis	MGC45800	Neurological
Multiple sclerosis	Mink1	Neurological
Multiple sclerosis	MIR100HG	Neurological
Multiple sclerosis	MIR1204	Neurological
Multiple sclerosis	MIR1208	Neurological
Multiple sclerosis	MIR4262	Neurological
Multiple sclerosis	MIR4435-2HG	Neurological
Multiple sclerosis	MIR4437	Neurological
Multiple sclerosis	MIR548AN	Neurological
Multiple sclerosis	Mlana	Neurological
Multiple sclerosis	Mllt10	Neurological
Multiple sclerosis	Mmel1	Neurological
Multiple sclerosis	MMP10	Neurological
Multiple sclerosis	Mms22l	Neurological
Multiple sclerosis	Mphosph9	Neurological
Multiple sclerosis	Mpo	Neurological
Multiple sclerosis	Mpv17l2	Neurological
Multiple sclerosis	Mrgpre	Neurological
Multiple sclerosis	Mthfr	Neurological
Multiple sclerosis	Myb	Neurological
Multiple sclerosis	Mybpc3	Neurological
Multiple sclerosis	Myc	Neurological
Multiple sclerosis	Mynn	Neurological
Multiple sclerosis	Myo5b	Neurological
Multiple sclerosis	Nab1	Neurological
Multiple sclerosis	Nadk	Neurological
Multiple sclerosis	Nckap5	Neurological
Multiple sclerosis	Ncf4	Neurological
Multiple sclerosis	Ncoa2	Neurological
Multiple sclerosis	Ncoa5	Neurological
Multiple sclerosis	Ncor2	Neurological
Multiple sclerosis	Ndfip1	Neurological
Multiple sclerosis	Nfkb1	Neurological
Multiple sclerosis	Nfkbiz	Neurological
Multiple sclerosis	Ngrn	Neurological
Multiple sclerosis	Nlrc5	Neurological
Multiple sclerosis	NLRP11	Neurological
Multiple sclerosis	Npepps	Neurological
Multiple sclerosis	Nr1d1	Neurological
Multiple sclerosis	Nudt12	Neurological
Multiple sclerosis	Odf3b	Neurological
Multiple sclerosis	Olig3	Neurological
Multiple sclerosis	Os9	Neurological
Multiple sclerosis	Papolg	Neurological
Multiple sclerosis	Pde3b	Neurological
Multiple sclerosis	Pde4a	Neurological
Multiple sclerosis	Pde4b	Neurological
Multiple sclerosis	Pdzrn4	Neurological
Multiple sclerosis	Phgdh	Neurological
Multiple sclerosis	Phkg1	Neurological
Multiple sclerosis	Phldb1	Neurological
Multiple sclerosis	Pitpnm2	Neurological
Multiple sclerosis	Plcl2	Neurological
Multiple sclerosis	Plek	Neurological
Multiple sclerosis	Plekhg5	Neurological
Multiple sclerosis	Plxnc1	Neurological
Multiple sclerosis	Popdc3	Neurological
Multiple sclerosis	Pou2af1	Neurological
Multiple sclerosis	Prdx5	Neurological
Multiple sclerosis	Prep	Neurological
Multiple sclerosis	Prickle1	Neurological
Multiple sclerosis	Prkra	Neurological
Multiple sclerosis	PRM1	Neurological
Multiple sclerosis	PRNCR1	Neurological
Multiple sclerosis	Prr5l	Neurological
Multiple sclerosis	Pten	Neurological
Multiple sclerosis	Ptger4	Neurological
Multiple sclerosis	Ptpn11	Neurological
Multiple sclerosis	Pus10	Neurological
Multiple sclerosis	Pvr	Neurological
Multiple sclerosis	PVT1	Neurological
Multiple sclerosis	Pxt1	Neurological
Multiple sclerosis	Rab38	Neurological
Multiple sclerosis	Rad51b	Neurological
Multiple sclerosis	Rasgef1a	Neurological
Multiple sclerosis	Rasgrp1	Neurological
Multiple sclerosis	Rcl1	Neurological
Multiple sclerosis	Rcor1	Neurological
Multiple sclerosis	Rdx	Neurological
Multiple sclerosis	Reln	Neurological
Multiple sclerosis	Rfk	Neurological
